2022-09-12 22:18:56,130 1750761 [INFO] Logs and models will be save in log/leaper.
2022-09-12 22:22:33,249 1750761 [INFO] Iter=0, max=10.00, avg=4.22, min=0.00, std=4.94
2022-09-12 22:22:33,252 1750761 [INFO] Best model updated, score=10.0
2022-09-12 22:23:09,495 1750761 [INFO] Iter=1, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:24:19,417 1750761 [INFO] Iter=2, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:25:49,012 1750761 [INFO] Iter=3, max=10.00, avg=0.04, min=0.00, std=0.62
2022-09-12 22:26:29,960 1750761 [INFO] Iter=4, max=10.00, avg=0.08, min=0.00, std=0.88
2022-09-12 22:27:29,506 1750761 [INFO] Iter=5, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:28:40,765 1750761 [INFO] Iter=6, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:31:35,305 1750761 [INFO] Iter=7, max=10.00, avg=5.16, min=0.00, std=5.00
2022-09-12 22:32:24,102 1750761 [INFO] Iter=8, max=10.00, avg=0.20, min=0.00, std=1.38
2022-09-12 22:33:27,836 1750761 [INFO] Iter=9, max=10.00, avg=0.08, min=0.00, std=0.88
2022-09-12 22:36:35,215 1750761 [INFO] Iter=10, max=10.00, avg=4.34, min=0.00, std=4.96
2022-09-12 22:37:51,638 1750761 [INFO] Iter=11, max=10.00, avg=0.08, min=0.00, std=0.88
2022-09-12 22:39:11,525 1750761 [INFO] Iter=12, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:40:17,136 1750761 [INFO] Iter=13, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:43:20,201 1750761 [INFO] Iter=14, max=10.00, avg=4.45, min=0.00, std=4.97
2022-09-12 22:46:23,592 1750761 [INFO] Iter=15, max=10.00, avg=5.16, min=0.00, std=5.00
2022-09-12 22:47:19,705 1750761 [INFO] Iter=16, max=10.00, avg=0.08, min=0.00, std=0.88
2022-09-12 22:50:27,185 1750761 [INFO] Iter=17, max=10.00, avg=4.26, min=0.00, std=4.94
2022-09-12 22:53:31,799 1750761 [INFO] Iter=18, max=10.00, avg=4.77, min=0.00, std=4.99
2022-09-12 22:55:16,003 1750761 [INFO] Iter=19, max=10.00, avg=1.25, min=0.00, std=3.31
2022-09-12 22:55:53,202 1750761 [INFO] Iter=20, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:56:47,959 1750761 [INFO] Iter=21, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-12 22:57:40,533 1750761 [INFO] Iter=22, max=0.00, avg=0.00, min=0.00, std=0.00
