2022-09-13 22:04:45,210 2794623 [INFO] Logs and models will be save in log/leaper.
2022-09-13 22:05:27,183 2794718 [INFO] Logs and models will be save in log/leaper.
2022-09-13 22:06:16,342 2794868 [INFO] Logs and models will be save in log/leaper.
2022-09-13 22:28:26,164 2816673 [INFO] Logs and models will be save in log/leaper.
2022-09-13 22:32:12,791 2816673 [INFO] Iter=0, max=10.00, avg=0.74, min=0.00, std=2.62
2022-09-13 22:32:12,796 2816673 [INFO] Best model updated, score=10.0
2022-09-13 22:35:27,120 2816673 [INFO] Iter=1, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 22:38:53,045 2816673 [INFO] Iter=2, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 22:42:38,904 2816673 [INFO] Iter=3, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 22:46:02,401 2816673 [INFO] Iter=4, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 22:49:36,448 2816673 [INFO] Iter=5, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 22:53:35,488 2816673 [INFO] Iter=6, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 22:57:53,069 2816673 [INFO] Iter=7, max=10.00, avg=0.47, min=0.00, std=2.11
2022-09-13 23:01:03,770 2816673 [INFO] Iter=8, max=10.00, avg=0.04, min=0.00, std=0.62
2022-09-13 23:04:53,296 2816673 [INFO] Iter=9, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 23:09:51,101 2816673 [INFO] Iter=10, max=10.00, avg=0.31, min=0.00, std=1.74
2022-09-13 23:13:42,638 2816673 [INFO] Iter=11, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 23:17:34,869 2816673 [INFO] Iter=12, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 23:21:20,859 2816673 [INFO] Iter=13, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 23:26:06,951 2816673 [INFO] Iter=14, max=10.00, avg=0.55, min=0.00, std=2.27
2022-09-13 23:31:14,998 2816673 [INFO] Iter=15, max=10.00, avg=0.39, min=0.00, std=1.94
2022-09-13 23:34:56,585 2816673 [INFO] Iter=16, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-13 23:39:31,092 2816673 [INFO] Iter=17, max=10.00, avg=0.74, min=0.00, std=2.62
2022-09-13 23:44:31,699 2816673 [INFO] Iter=18, max=10.00, avg=0.74, min=0.00, std=2.62
2022-09-13 23:48:34,094 2816673 [INFO] Iter=19, max=10.00, avg=0.04, min=0.00, std=0.62
2022-09-13 23:51:56,410 2816673 [INFO] Iter=20, max=0.00, avg=0.00, min=0.00, std=0.00
