2022-09-14 12:21:48,040 135047 [INFO] Logs and models will be save in log/leaper.
2022-09-14 12:27:26,136 135612 [INFO] Logs and models will be save in log/leaper.
2022-09-14 12:28:34,728 135612 [INFO] Iter=0, max=10.00, avg=2.10, min=0.00, std=4.07
2022-09-14 12:28:34,730 135612 [INFO] Best model updated, score=10.0
2022-09-14 12:29:23,016 135612 [INFO] Iter=1, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:30:17,715 135612 [INFO] Iter=2, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:31:07,875 135612 [INFO] Iter=3, max=10.00, avg=0.10, min=0.00, std=0.99
2022-09-14 12:32:06,126 135612 [INFO] Iter=4, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:33:17,351 135612 [INFO] Iter=5, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:34:15,189 135612 [INFO] Iter=6, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:35:17,789 135612 [INFO] Iter=7, max=10.00, avg=2.80, min=0.00, std=4.49
2022-09-14 12:36:13,366 135612 [INFO] Iter=8, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:36:54,927 135612 [INFO] Iter=9, max=10.00, avg=0.10, min=0.00, std=0.99
2022-09-14 12:37:46,393 135612 [INFO] Iter=10, max=10.00, avg=5.00, min=0.00, std=5.00
2022-09-14 12:38:24,542 135612 [INFO] Iter=11, max=10.00, avg=0.10, min=0.00, std=0.99
2022-09-14 12:38:55,436 135612 [INFO] Iter=12, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:39:26,645 135612 [INFO] Iter=13, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:40:02,321 135612 [INFO] Iter=14, max=10.00, avg=7.10, min=0.00, std=4.54
2022-09-14 12:40:29,539 135612 [INFO] Iter=15, max=10.00, avg=8.10, min=0.00, std=3.92
2022-09-14 12:40:57,174 135612 [INFO] Iter=16, max=10.00, avg=8.80, min=0.00, std=3.25
2022-09-14 12:41:13,184 135612 [INFO] Iter=17, max=10.00, avg=9.00, min=0.00, std=3.00
2022-09-14 12:41:24,026 135612 [INFO] Iter=18, max=10.00, avg=9.30, min=0.00, std=2.55
2022-09-14 12:41:34,139 135612 [INFO] Iter=19, max=10.00, avg=9.40, min=0.00, std=2.37
2022-09-14 12:41:38,495 135612 [INFO] Iter=20, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:41:49,310 135612 [INFO] Iter=21, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:42:01,964 135612 [INFO] Iter=22, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:42:14,363 135612 [INFO] Iter=23, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:42:40,318 135612 [INFO] Iter=24, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:42:46,693 135612 [INFO] Iter=25, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:43:14,294 135612 [INFO] Iter=26, max=10.00, avg=8.60, min=0.00, std=3.47
2022-09-14 12:43:25,556 135612 [INFO] Iter=27, max=0.00, avg=0.00, min=0.00, std=0.00
2022-09-14 12:43:40,277 135612 [INFO] Iter=28, max=10.00, avg=9.30, min=0.00, std=2.55
2022-09-14 12:43:47,606 135612 [INFO] Iter=29, max=10.00, avg=0.20, min=0.00, std=1.40
2022-09-14 12:44:02,064 135612 [INFO] Iter=30, max=10.00, avg=9.30, min=0.00, std=2.55
2022-09-14 12:44:19,125 135612 [INFO] Iter=31, max=10.00, avg=9.20, min=0.00, std=2.71
